"Date","Price","Open","High","Low","Vol.","Change %"
"10/25/2023","52.14","51.88","52.43","51.83","23.51K","0.77%"
"10/24/2023","51.74","53.26","53.45","51.74","9.05K","-4.08%"
"10/23/2023","53.94","53.86","54.37","53.80","8.73K","-1.73%"
"10/20/2023","54.89","54.73","55.17","54.66","20.53K","2.48%"
"10/19/2023","53.56","53.68","53.68","52.95","17.62K","-0.46%"
"10/18/2023","53.81","53.75","54.60","53.51","11.85K","2.61%"
"10/17/2023","52.44","52.82","53.00","52.44","6.72K","-0.68%"
"10/16/2023","52.80","53.19","53.62","52.80","18.47K","0.32%"
"10/13/2023","52.63","51.29","52.83","51.28","56.22K","3.19%"
"10/12/2023","51.01","50.56","51.57","50.56","12.82K","1.15%"
"10/11/2023","50.42","51.67","51.81","50.25","66.86K","-1.59%"
"10/10/2023","51.24","51.23","51.69","51.06","15.36K","-0.35%"
"10/09/2023","51.42","51.22","51.56","50.71","38.23K","3.85%"
"10/06/2023","49.51","49.45","49.59","49.20","12.42K","0.04%"
"10/05/2023","49.49","50.57","50.59","49.47","81.64K","-3.73%"
"10/04/2023","51.42","52.93","52.93","51.45","45.62K","-3.56%"
"10/03/2023","53.31","52.97","53.22","52.80","13.49K","0.48%"
"10/02/2023","53.06","54.23","54.23","53.08","20.91K","-1.72%"
"09/29/2023","53.99","54.43","54.98","53.80","87.50K","-1.53%"
"09/28/2023","54.83","55.42","55.42","54.66","12.82K","-0.40%"
"09/27/2023","55.05","54.39","55.20","54.39","10.90K","1.74%"
"09/26/2023","54.11","53.35","54.11","53.20","19.12K","0.70%"
"09/25/2023","53.74","54.35","54.35","53.59","14.55K","-1.10%"
"09/22/2023","54.33","54.48","54.78","54.28","27.28K","-0.63%"
"09/21/2023","54.68","53.69","54.88","53.67","9.11K","-0.13%"
"09/20/2023","54.75","54.20","54.82","54.00","42.79K","-0.62%"
"09/19/2023","55.09","54.92","55.35","54.82","22.12K","0.10%"
"09/18/2023","55.03","55.23","55.23","54.86","35.63K","0.60%"
"09/15/2023","54.71","55.15","55.18","54.39","33.28K","0.10%"
"09/14/2023","54.65","54.14","54.74","54.10","11.37K","1.24%"
"09/13/2023","53.98","54.01","54.18","53.81","17.43K","0.22%"
"09/12/2023","53.86","53.18","54.04","53.18","29.29K","1.99%"
"09/11/2023","52.81","52.95","53.28","52.81","20.74K","-0.63%"
"09/08/2023","53.15","52.45","53.07","52.45","4.77K","0.47%"
"09/07/2023","52.90","52.82","52.95","52.63","19.25K","0.43%"
"09/06/2023","52.67","52.62","52.65","52.32","19.07K","-0.79%"
"09/05/2023","53.09","51.86","53.09","51.66","62.45K","2.14%"
"09/04/2023","51.98","51.80","51.96","51.69","18.32K","1.23%"
"09/01/2023","51.35","50.83","51.66","50.83","25.41K","2.29%"
"08/31/2023","50.20","49.83","50.42","49.76","48.11K","1.47%"
"08/30/2023","49.47","49.78","50.00","49.71","16.61K","0.37%"
"08/29/2023","49.29","48.84","49.41","48.84","4.63K","1.14%"
"08/25/2023","48.74","48.61","49.13","48.61","20.50K","1.02%"
"08/24/2023","48.25","48.17","48.60","47.69","22.58K","-0.35%"
"08/23/2023","48.42","48.70","48.73","48.00","40.79K","-1.08%"
"08/22/2023","48.95","49.06","49.18","48.86","4.41K","-1.04%"
"08/21/2023","49.47","49.56","49.80","49.27","19.23K","0.88%"
"08/18/2023","49.03","48.86","49.00","48.44","4.68K","-0.30%"
"08/17/2023","49.19","48.62","49.24","48.58","12.88K","-0.18%"
"08/16/2023","49.28","48.96","49.47","48.96","57.28K","0.31%"
"08/15/2023","49.13","49.95","49.97","48.87","16.27K","-1.78%"
"08/14/2023","50.01","49.71","50.09","49.60","6.44K","-0.47%"
"08/11/2023","50.25","49.90","50.43","49.78","36.72K","-0.34%"
"08/10/2023","50.42","50.63","50.88","50.22","24.17K","-0.08%"
"08/09/2023","50.46","49.87","50.60","49.82","20.07K","2.21%"
"08/08/2023","49.37","49.22","49.37","48.40","10.33K","-0.18%"
"08/07/2023","49.46","49.96","49.96","49.36","37.98K","-0.72%"
"08/04/2023","49.82","49.46","49.82","49.36","10.05K","1.30%"
"08/03/2023","49.18","48.14","49.22","47.81","53.21K","2.25%"
"08/02/2023","48.10","49.60","49.65","48.10","132.43K","-2.20%"
"08/01/2023","49.18","49.29","49.44","49.00","9.17K","-0.44%"
"07/31/2023","49.40","48.74","49.43","48.74","41.50K","1.86%"
"07/28/2023","48.49","48.36","48.53","48.12","15.75K","0.18%"
"07/27/2023","48.41","48.16","48.43","47.91","6.28K","0.69%"
"07/26/2023","48.08","48.02","48.22","47.60","21.08K","0.19%"
"07/25/2023","47.99","47.77","47.99","47.50","4.23K","0.44%"
"07/24/2023","47.78","46.71","47.78","46.71","53.01K","2.71%"
"07/21/2023","46.52","46.49","46.70","46.26","41.33K","1.68%"
"07/20/2023","45.75","46.12","46.26","45.75","10.24K","-1.64%"
"07/19/2023","46.51","46.11","46.69","46.11","13.04K","0.99%"
"07/18/2023","46.06","45.34","46.03","45.34","1.49K","0.79%"
"07/17/2023","45.70","45.62","45.84","45.33","10.55K","-1.15%"
"07/14/2023","46.23","46.66","46.89","45.97","11.55K","-0.34%"
"07/13/2023","46.39","46.30","46.57","46.14","6.67K","0.80%"
"07/12/2023","46.02","45.72","46.26","45.70","13.81K","0.99%"
"07/11/2023","45.57","45.07","45.50","44.82","6.28K","0.73%"
"07/10/2023","45.24","44.75","45.34","44.72","40.02K","1.33%"
"07/07/2023","44.65","44.30","44.73","44.04","9.83K","3.08%"
"07/06/2023","43.31","44.01","44.31","43.22","22.73K","-1.77%"
"07/05/2023","44.09","43.73","44.16","43.44","3.73K","0.80%"
"07/04/2023","43.74","43.21","43.85","43.21","5.92K","0.23%"
"07/03/2023","43.64","43.24","43.93","43.11","9.32K","0.45%"
"06/30/2023","43.44","42.97","43.53","42.82","81.93K","2.42%"
"06/29/2023","42.42","42.59","43.15","42.32","13.78K","-0.19%"
"06/28/2023","42.50","41.90","42.64","41.40","52.65K","0.59%"
"06/27/2023","42.25","43.00","43.02","41.96","11.07K","-0.80%"
"06/26/2023","42.59","42.91","43.09","42.36","35.21K","0.39%"
"06/23/2023","42.42","42.42","42.51","41.69","18.71K","-0.75%"
"06/22/2023","42.74","44.23","44.23","42.69","18.85K","-3.36%"
"06/21/2023","44.23","43.65","44.16","43.58","9.58K","2.43%"
"06/20/2023","43.18","43.73","44.19","43.00","4.45K","-1.25%"
"06/19/2023","43.72","43.56","44.04","43.56","9.76K","0.36%"
"06/16/2023","43.57","43.54","43.69","43.23","50.40K","1.40%"
"06/15/2023","42.97","42.28","43.06","42.07","72.06K","0.94%"
"06/14/2023","42.57","42.81","43.11","42.51","8.79K","0.21%"
"06/13/2023","42.48","41.53","42.76","41.50","32.80K","1.89%"
"06/12/2023","41.69","42.54","42.54","41.20","35.08K","-4.42%"
"06/09/2023","43.62","43.39","43.68","43.30","4.36K","0.30%"
"06/08/2023","43.49","44.18","44.46","43.49","12.35K","-1.71%"
"06/07/2023","44.24","43.39","44.29","43.24","4.01K","1.29%"
"06/06/2023","43.68","43.47","43.68","43.00","11.94K","-0.82%"
"06/05/2023","44.04","44.25","44.49","43.82","13.11K","1.78%"
"06/02/2023","43.27","43.00","43.70","42.92","10.18K","1.33%"
"06/01/2023","42.70","41.99","42.71","41.32","11.62K","1.62%"
"05/31/2023","42.02","42.01","42.18","41.00","25.87K","-1.13%"
"05/30/2023","42.50","43.89","43.89","42.41","15.18K","-3.39%"
"05/26/2023","43.99","43.56","43.99","43.40","32.57K","1.57%"
"05/25/2023","43.31","44.54","44.55","43.31","28.43K","-2.72%"
"05/24/2023","44.52","44.20","44.66","44.19","11.78K","1.25%"
"05/23/2023","43.97","43.30","44.02","43.15","4.42K","1.59%"
"05/22/2023","43.28","42.53","43.28","42.53","65.29K","0.30%"
"05/19/2023","43.15","43.63","44.15","43.46","12.24K","-0.30%"
"05/18/2023","43.28","43.68","43.84","43.18","34.41K","-0.44%"
"05/17/2023","43.47","42.29","43.47","42.22","7.41K","2.02%"
"05/16/2023","42.61","42.69","43.07","42.46","20.42K","-0.16%"
"05/15/2023","42.68","42.00","42.85","41.99","4.86K","0.90%"
"05/12/2023","42.30","42.34","42.98","42.23","16.47K","-1.74%"
"05/11/2023","43.05","43.69","43.95","42.46","78.54K","-1.24%"
"05/10/2023","43.59","43.73","44.02","43.23","13.83K","2.05%"
"05/09/2023","42.72","43.36","43.51","42.68","25.73K","0.22%"
"05/05/2023","42.62","41.66","42.95","41.66","79.57K","3.47%"
"05/04/2023","41.19","41.64","41.68","40.80","35.64K","0.73%"
"05/03/2023","40.89","42.83","42.85","40.88","35.17K","-4.97%"
"05/02/2023","43.03","45.00","45.14","43.21","4.92K","-5.30%"
"04/28/2023","45.44","44.40","45.05","44.20","2.87K","2.62%"
"04/27/2023","44.28","44.31","44.50","43.92","43.05K","-2.86%"
"04/26/2023","45.58","46.10","46.10","44.90","27.72K","-0.48%"
"04/25/2023","45.81","46.87","46.96","45.59","7.53K","-2.25%"
"04/24/2023","46.86","46.14","46.86","46.06","1.77K","1.31%"
"04/21/2023","46.26","45.65","46.10","45.58","5.49K","0.69%"
"04/20/2023","45.94","46.59","46.59","45.80","15.54K","-2.91%"
"04/19/2023","47.31","47.71","47.71","46.66","1.57K","-1.70%"
"04/18/2023","48.13","48.18","48.22","47.81","106.41K","0.14%"
"04/17/2023","48.07","48.55","48.71","48.07","2.38K","-1.74%"
"04/14/2023","48.92","48.77","48.99","48.62","1.75K","-0.31%"
"04/13/2023","49.07","49.26","49.58","48.99","8.02K","-0.16%"
"04/12/2023","49.15","48.41","49.15","48.26","13.02K","2.33%"
"04/11/2023","48.03","47.92","48.04","47.37","35.96K","0.27%"
"04/06/2023","47.90","47.81","48.18","47.65","107.63K","0.07%"
"04/05/2023","47.87","48.26","48.26","47.59","8.38K","0.26%"
"04/04/2023","47.74","48.31","48.55","47.52","21.09K","-0.43%"
"04/03/2023","47.94","47.54","48.10","47.42","138.53K","7.03%"
"03/31/2023","44.79","44.49","44.96","44.17","19.85K","0.80%"
"03/30/2023","44.44","43.98","44.54","43.98","106.96K","0.23%"
"03/29/2023","44.34","44.43","44.71","44.27","60.66K","0.24%"
"03/28/2023","44.24","44.23","44.35","44.00","15.70K","2.68%"
"03/27/2023","43.08","42.66","43.08","42.54","10.03K","2.63%"
"03/24/2023","41.97","42.76","42.76","41.16","31.61K","-2.81%"
"03/23/2023","43.19","42.95","43.62","42.84","49.31K","0.56%"
"03/22/2023","42.95","42.25","43.00","42.20","31.65K","2.19%"
"03/21/2023","42.03","42.22","42.48","41.86","8.57K","2.21%"
"03/20/2023","41.12","40.05","41.25","40.00","43.23K","-0.87%"
"03/17/2023","41.48","42.40","42.75","40.55","111.43K","-0.65%"
"03/16/2023","41.75","41.53","41.97","40.50","33.40K","2.34%"
"03/15/2023","40.79","44.05","44.21","40.54","42.96K","-8.35%"
"03/14/2023","44.51","44.79","45.11","44.27","95.49K","-2.60%"
"03/13/2023","45.70","46.52","46.52","44.15","93.69K","-1.72%"
"03/10/2023","46.50","45.50","46.50","45.32","55.91K","-0.28%"
"03/09/2023","46.63","46.24","46.71","46.09","4.09K","0.60%"
"03/08/2023","46.35","46.53","46.76","46.07","11.74K","-1.75%"
"03/07/2023","47.17","48.54","48.54","47.38","7.25K","-2.14%"
"03/06/2023","48.21","48.00","48.10","47.35","33.85K","0.85%"
"03/03/2023","47.80","47.31","47.80","46.22","1.91K","0.34%"
"03/02/2023","47.64","47.18","47.64","47.16","85.41K","1.88%"
"03/01/2023","46.76","46.98","47.10","46.40","7.46K","-0.15%"
"02/28/2023","46.83","46.40","47.06","46.37","8.25K","2.09%"
"02/27/2023","45.87","46.37","46.63","45.81","20.30K","-1.10%"
"02/24/2023","46.38","46.49","46.50","45.29","7.61K","1.76%"
"02/23/2023","45.58","45.22","45.88","45.12","2.24K","0.30%"
"02/22/2023","45.44","45.82","46.05","45.38","4.89K","-1.91%"
"02/21/2023","46.33","46.38","46.78","46.26","15.32K","-0.47%"
"02/20/2023","46.55","46.69","47.04","46.55","14.44K","0.66%"
"02/17/2023","46.24","46.90","46.90","45.72","11.15K","-3.03%"
"02/16/2023","47.69","47.90","47.90","47.32","46.28K","1.46%"
"02/15/2023","47.01","47.22","47.40","47.00","5.05K","-1.20%"
"02/14/2023","47.58","48.00","48.00","47.20","6.37K","-0.68%"
"02/13/2023","47.90","47.67","48.01","47.51","6.59K","-0.36%"
"02/10/2023","48.08","46.99","48.35","46.98","79.93K","2.68%"
"02/09/2023","46.82","47.43","47.55","46.38","110.92K","0.01%"
"02/08/2023","46.81","46.85","47.20","46.70","18.25K","1.07%"
"02/07/2023","46.32","45.83","46.32","45.50","77.91K","3.67%"
"02/06/2023","44.68","44.98","45.23","44.16","74.88K","-1.74%"
"02/03/2023","45.47","45.67","46.91","45.47","39.65K","-0.96%"
"02/02/2023","45.91","46.32","46.35","45.40","26.19K","-2.57%"
"02/01/2023","47.12","47.75","47.96","47.00","64.02K","-0.65%"
"01/31/2023","47.43","46.85","47.68","46.34","22.06K","-0.42%"
"01/30/2023","47.63","47.79","48.09","47.14","51.25K","-1.18%"
"01/27/2023","48.20","48.86","49.30","48.20","39.44K","-1.27%"
"01/26/2023","48.82","48.11","49.00","48.11","5.09K","0.76%"
"01/25/2023","48.45","48.25","48.45","47.77","31.36K","0.03%"
"01/24/2023","48.44","49.13","49.22","48.41","21.39K","-2.01%"
"01/23/2023","49.43","48.69","49.55","48.69","11.08K","1.90%"
"01/20/2023","48.51","48.61","48.61","48.26","32.50K","1.04%"
"01/19/2023","48.01","47.17","48.19","47.09","95.76K","-1.23%"
"01/18/2023","48.61","48.32","49.05","48.32","57.76K","1.80%"
"01/17/2023","47.75","47.22","48.40","47.20","19.06K","1.55%"
"01/16/2023","47.02","47.29","47.51","46.91","15.32K","-0.80%"
"01/13/2023","47.40","47.20","47.45","46.86","10.94K","0.96%"
"01/12/2023","46.95","46.18","47.11","45.97","87.97K","1.78%"
"01/11/2023","46.13","44.54","46.13","44.54","30.54K","3.53%"
"01/10/2023","44.56","44.31","44.97","44.30","28.87K","0.03%"
"01/09/2023","44.54","44.93","45.33","44.54","16.05K","0.01%"
"01/06/2023","44.53","43.90","44.89","43.83","162.39K","0.64%"
"01/05/2023","44.25","43.75","44.60","43.40","66.20K","0.89%"
"01/04/2023","43.86","45.55","45.55","43.51","72.44K","-5.69%"
"01/03/2023","46.51","48.30","48.30","46.85","119.72K","0.10%"
"12/30/2022","46.46","46.83","46.87","46.31","40.83K","0.55%"
"12/29/2022","46.21","46.26","46.58","45.75","87.92K","-0.14%"
"12/28/2022","46.27","47.11","47.26","46.08","69.94K","0.08%"
"12/23/2022","46.24","47.51","47.51","45.85","7.94K","0.18%"
"12/22/2022","46.15","45.76","46.91","45.76","129.69K","0.93%"
"12/21/2022","45.72","44.70","46.01","44.70","406.20K","2.80%"
"12/20/2022","44.48","44.80","45.19","44.50","21.55K","-0.67%"
"12/19/2022","44.78","44.42","45.14","44.11","26.54K","1.27%"
"12/16/2022","44.22","45.08","45.08","43.98","132.39K","-2.15%"
"12/15/2022","45.19","45.81","46.37","45.19","18.79K","-2.07%"
"12/14/2022","46.15","45.07","46.25","45.07","36.68K","2.53%"
"12/13/2022","45.01","44.28","45.07","43.85","56.90K","2.92%"
"12/12/2022","43.73","42.75","43.94","42.27","267.72K","1.29%"
"12/09/2022","43.17","42.93","43.30","42.65","324.32K","0.92%"
"12/08/2022","42.78","43.54","44.29","42.49","125.34K","-2.55%"
"12/07/2022","43.90","44.41","45.01","43.50","5.98M","-2.70%"
"12/06/2022","45.12","46.48","46.51","44.83","1.63M","-4.59%"
"12/05/2022","47.29","47.85","49.03","47.19","42.76K","-1.75%"
"12/02/2022","48.13","48.08","48.60","48.00","4.04K","-2.14%"
"12/01/2022","49.19","48.31","49.66","48.22","254.36K","1.96%"
"11/30/2022","48.24","47.35","48.50","47.15","61.47K","3.21%"
"11/29/2022","46.74","47.48","47.99","46.74","71.74K","1.32%"
"11/28/2022","46.13","45.30","46.15","45.00","106.11K","-2.68%"
"11/25/2022","47.40","47.64","48.27","47.31","18.52K","0.17%"
"11/24/2022","47.32","47.04","47.21","46.95","9.68K","0.51%"
"11/23/2022","47.08","48.79","48.88","46.67","42.35K","-3.88%"
"11/22/2022","48.98","48.72","49.11","48.48","13.39K","6.68%"
"11/21/2022","45.92","48.04","48.12","45.75","22.63K","-4.30%"
"11/18/2022","47.98","49.17","49.33","47.45","117.73K","-2.43%"
"11/17/2022","49.17","50.31","50.31","49.42","4.38K","-1.70%"
"11/16/2022","50.03","51.33","51.33","50.13","5.64K","-1.64%"
"11/15/2022","50.86","50.42","50.86","50.09","7.15K","-0.47%"
"11/14/2022","51.10","51.82","51.89","51.10","9.23K","-1.27%"
"11/11/2022","51.76","51.67","51.96","51.61","24.25K","2.30%"
"11/10/2022","50.59","49.84","50.58","49.78","4.84K","0.26%"
"11/09/2022","50.46","51.41","51.41","50.43","11.27K","-3.83%"
"11/08/2022","52.47","52.68","52.81","52.32","8.47K","-1.85%"
"11/07/2022","53.46","52.80","53.60","52.68","17.55K","1.49%"
"11/04/2022","52.67","52.04","53.12","51.99","16.64K","2.58%"
"11/03/2022","51.35","51.38","51.38","50.99","9.61K","-1.27%"
"11/02/2022","52.01","51.41","52.01","50.75","10.98K","1.91%"
"11/01/2022","51.03","50.85","51.43","50.82","5.76K","2.16%"
"10/31/2022","49.96","50.26","50.35","49.64","12.15K","-1.22%"
"10/28/2022","50.57","50.54","51.10","50.54","21.29K","-1.31%"
"10/27/2022","51.24","50.28","51.28","50.28","16.55K","1.60%"
"10/26/2022","50.44","48.98","50.51","48.76","11.66K","2.22%"
"10/25/2022","49.34","49.15","49.77","48.38","5.69K","0.51%"
"10/24/2022","49.09","48.72","49.49","48.24","6.12K","0.53%"
"10/21/2022","48.83","48.67","49.20","48.19","6.98K","-0.81%"
"10/20/2022","49.23","49.24","49.74","49.23","13.08K","2.65%"
"10/19/2022","47.96","47.83","48.19","47.53","11.51K","1.42%"
"10/18/2022","47.29","48.88","48.96","47.24","5.43K","-2.81%"
"10/17/2022","48.65","49.00","49.24","48.66","6.26K","-0.64%"
"10/14/2022","48.97","50.06","50.18","48.66","15.64K","-1.30%"
"10/13/2022","49.62","48.80","49.39","48.26","4.00K","1.31%"
"10/12/2022","48.97","49.96","50.17","48.88","6.48K","-1.52%"
"10/11/2022","49.73","50.32","50.32","49.50","9.99K","-3.02%"
"10/10/2022","51.28","51.50","51.71","51.26","121.59K","-0.46%"